#
# Version TT_2.0.5beta
#

#  Parameter thresholds:
    0.000003366210175    0.001512401693890    1.077935222672065    0.025367402581773
   24 39 24 25 40   913
   23 27 32 20 45   919
   23 35 33 20 41   917
   23 35 31 19 45   960
   23 34 34 24 30   763
   23 27 22 27 42  1249
   24 38 21 27 40   790
   24 32 25 27 37   760
   22 35 35 23 37  1188
   24 14 38 24 33   755
   24 35 33 22 41   759
   24 29 33 24 39   727
   23 21 40 21 34   772
   23 28 34 23 40  1051
   23 27 37 23 30  1212
   22  5 32 25 47   988
   23  0 32 23 49   721
   23  8 27 28 44  1655
   22 32 27 29 27   910
   24 31 30 28 20   746
   23 20 30 32 17   891
   24 33 28 29 23   849
   24 31 32 31  9   865
   23 30 31 31 14  1065
   24 29 32 29 19   959
   24 27 34 30 12   968
   23 18 35 32 10   895
   23 29 25 29 31   733
   24 29 22 28 42  1015
   23 30 33 29 18   671
   23 30 30 29 24   914
   23 28 33 29 23   852
   23 35 28 29 23   990
   23 35 32 31  9   814
   22 29 22 29 41   674
   25  7 22 32 39   894
   25 25 22 30 39   810
   23 10 27 30 38   985
   22 25 19 32 39   736
   24 24 23 31 33   823
   23 25 22 31 39   870
   22 21 44 18 32   840
   24  0 48 16 37  1195
   23 26 48 18 28   822
   22  6 39 25 33   704
   22 49 15 38  1   700
   22 21 42 18 39   836
   22 36 29 25 40   869
   22 38 25 27 38   650
   25 38 30 27 27   743
   22  3 22 30 44   693
   22 39 36 20 33   745
   22 45 39 14 29   839
   23 41 38 15 35   832
   23 45 37  9 42   838
   22 40 36 13 44   741
   23 25 35 18 45   892
   22 16 23 32 38   989
   22 29 29 28 31  1155
   22 33 26 28 34   789
   23 29 27 29 33  1143
   23 28 29 29 32   738
   22 28 25 28 42  1654
   22 13 39 24 34   731
   22 15 37 23 38   720
   22 39 36 19 40   747
   22 41 34 23 29   603
   22 38 21 18 48   702
   22 31 29 29 31   699
   23 35 26 29 32   705
   22  0 33 21 49  1148
   22 21 36 37  1   719
   22 40 32 20 41   716
   23 49 32 19 41  1046
   22 29 31 32 13   695
   22 32 36 21 38   672
   22 19 40 23 31   739
   22  7 38 13 49   737
   23 43 35  8 49   813
   22 38 35 11 47   782
   22 20 13 34 34   780
   22 26 20 34 26   781
   23 25 18 34 31   878
   23 31 20 34 22   841
   22 31 23 34 18   797
   23 27 31 32 16   812
   23 26 25 31 27   842
   25 24 31 32 19   811
   22  8 29 30 37  1059
   22 34 30 34  5  1058
   22 26 30 33 11  1129
   22 29 29 35  5  1179
   22 15 35 34  6   742
   22 49 17 28 34   725
   22 44 41 23  2   687
   23 46 39 18 13   777
   22 44 39 18 20  1293
   22 40 39 23 15  1113
   22 38 39 25 12   690
   22  1 34 28 34   715
   23  3 31 27 40   799
   23 24 32 27 33  1713
   22 15 47 30  2   732
   23 19 42 28 11   986
   23 21 42 23 22   808
   23 26 43 34  1   943
   22 15 41 25 20   629
   22 15 46 27  6  1057
   23 21 43 26 11  1417
